x,y
17.99,0
20.57,0
19.69,0
11.42,0
20.29,0
12.45,0
18.25,0
13.71,0
13.0,0
12.46,0
16.02,0
15.78,0
19.17,0
15.85,0
13.73,0
14.54,0
14.68,0
16.13,0
19.81,0
13.54,1
13.08,1
9.504,1
15.34,0
21.16,0
16.65,0
17.14,0
14.58,0
18.61,0
15.3,0
17.57,0
18.63,0
11.84,0
17.02,0
19.27,0
16.13,0
16.74,0
14.25,0
13.03,1
14.99,0
13.48,0
13.44,0
10.95,0
19.07,0
13.28,0
13.17,0
18.65,0
8.196,1
13.17,0
12.05,1
13.49,1
11.76,1
13.64,1
11.94,1
18.22,0
15.1,0
11.52,1
19.21,0
14.71,0
13.05,1
8.618,1
10.17,1
8.598,1
14.25,0
9.173,1
12.68,0
14.78,0
9.465,1
11.31,1
9.029,1
12.78,1
18.94,0
8.888,1
17.2,0
13.8,0
12.31,1
16.07,0
13.53,1
18.05,0
20.18,0
12.86,1
11.45,1
13.34,1
25.22,0
19.1,0
12.0,1
18.46,0
14.48,0
19.02,0
12.36,1
14.64,1
14.62,1
15.37,0
13.27,1
13.45,1
15.06,0
20.26,0
12.18,1
9.787,1
11.6,1
14.42,0
13.61,0
6.981,1
12.18,1
9.876,1
10.49,1
13.11,0
11.64,1
12.36,1
22.27,0
11.34,1
9.777,1
12.63,1
14.26,1
10.51,1
8.726,1
11.93,1
8.95,1
14.87,0
15.78,0
17.95,0
11.41,1
18.66,0
24.25,0
14.5,1
13.37,1
13.85,1
13.61,0
19.0,0
15.1,1
19.79,0
12.19,1
15.46,0
16.16,0
15.71,1
18.45,0
12.77,0
11.71,1
11.43,1
14.95,0
11.28,1
9.738,1
16.11,0
11.43,1
12.9,1
10.75,1
11.9,1
11.8,0
14.95,1
14.44,1
13.74,1
13.0,1
8.219,1
9.731,1
11.15,1
13.15,1
12.25,1
17.68,0
16.84,1
12.06,1
10.9,1
11.75,1
19.19,0
19.59,0
12.34,1
23.27,0
14.97,1
10.8,1
16.78,0
17.47,0
14.97,1
12.32,1
13.43,0
15.46,0
11.08,1
10.66,1
8.671,1
9.904,1
16.46,0
13.01,1
12.81,1
27.22,0
21.09,0
15.7,0
11.41,1
15.28,0
10.08,1
18.31,0
11.71,1
11.81,1
12.3,1
14.22,0
12.77,1
9.72,1
12.34,0
14.86,0
12.91,1
13.77,0
18.08,0
19.18,0
14.45,0
12.23,1
17.54,0
23.29,0
13.81,0
12.47,1
15.12,0
9.876,1
17.01,0
13.11,1
15.27,1
20.58,0
11.84,1
28.11,0
17.42,0
14.19,0
13.86,0
11.89,1
10.2,1
19.8,0
19.53,0
13.65,1
13.56,1
10.18,1
15.75,0
13.27,1
14.34,1
10.44,1
15.0,1
12.62,1
12.83,0
17.05,0
11.32,1
11.22,1
20.51,0
9.567,1
14.03,1
23.21,0
20.48,0
14.22,1
17.46,0
13.64,1
12.42,1
11.3,1
13.75,1
19.4,0
10.48,1
13.2,1
12.89,1
10.65,1
11.52,1
20.94,0
11.5,1
19.73,0
17.3,0
19.45,0
13.96,0
19.55,0
15.32,0
15.66,0
15.53,0
20.31,0
17.35,0
17.29,0
15.61,0
17.19,0
20.73,0
10.6,1
13.59,1
12.87,1
10.71,1
14.29,1
11.29,1
21.75,0
9.742,1
17.93,0
11.89,1
11.33,1
18.81,0
13.59,1
13.85,1
19.16,0
11.74,1
19.4,0
16.24,0
12.89,1
12.58,1
11.94,1
12.89,1
11.26,1
11.37,1
14.41,1
14.96,1
12.95,1
11.85,1
12.72,1
13.77,1
10.91,1
11.76,0
14.26,1
10.51,1
19.53,0
12.46,1
20.09,0
10.49,1
11.46,1
11.6,1
13.2,1
9.0,1
13.5,1
13.05,1
11.7,1
14.61,1
12.76,1
11.54,1
8.597,1
12.49,1
12.18,1
18.22,0
9.042,1
12.43,1
10.25,1
20.16,0
12.86,1
20.34,0
12.2,1
12.67,1
14.11,1
12.03,1
16.27,0
16.26,0
16.03,0
12.98,1
11.22,1
11.25,1
12.3,1
17.06,0
12.99,1
18.77,0
10.05,1
23.51,0
14.42,1
9.606,1
11.06,1
19.68,0
11.71,1
10.26,1
12.06,1
14.76,1
11.47,1
11.95,1
11.66,1
15.75,0
25.73,0
15.08,0
11.14,1
12.56,1
13.05,1
13.87,1
8.878,1
9.436,1
12.54,1
13.3,1
12.76,1
16.5,1
13.4,1
20.44,0
20.2,0
12.21,1
21.71,0
22.01,0
16.35,0
15.19,1
21.37,0
20.64,0
13.69,1
16.17,1
10.57,1
13.46,1
13.66,1
11.08,0
11.27,1
11.04,1
12.05,1
12.39,1
13.28,1
14.6,0
12.21,1
13.88,1
11.27,1
19.55,0
10.26,1
8.734,1
15.49,0
21.61,0
12.1,1
14.06,1
13.51,1
12.8,1
11.06,1
11.8,1
17.91,0
11.93,1
12.96,1
12.94,1
12.34,1
10.94,1
16.14,1
12.85,1
17.99,0
12.27,1
11.36,1
11.04,1
9.397,1
14.99,1
15.13,0
11.89,1
9.405,1
15.5,0
12.7,1
11.16,1
11.57,1
14.69,1
11.61,1
13.66,1
9.742,1
10.03,1
10.48,1
10.8,1
11.13,1
