"external_risk_estimate","revolving_utilization","age_oldest_trade","delinquency_30","inquiry_6m","y"
20,0.248672482324764,107.375766853417,0,3,0
51,0.111594115151092,86.3140105778232,0,1,0
87,0.63113130396232,207.549215321591,0,0,0
87,0.992534946883097,106.405151853885,1,1,1
79,0.869939496275038,75.4348940402269,0,3,0
34,0.324802835006267,5.25545644156032,0,0,0
64,0.554107005242258,87.2757361918613,0,1,1
92,0.521450556814671,388.753661493164,0,2,0
74,0.442113033961505,92.8273328110327,0,0,0
78,0.429416951723397,20.2975249104202,0,1,0
87,0.18164932122454,115.298592517699,0,2,0
91,0.12012188625522,103.075034806177,0,1,0
72,0.609994251979515,32.6236606389284,0,1,0
66,0.134425371419638,105.512978727545,0,1,0
68,0.282723196782172,22.7174565196037,0,1,0
70,0.947043385589495,367.462047616345,0,1,0
22,0.797360792057589,203.265912820747,0,2,1
76,0.923302138457075,5.32821341611655,0,2,1
94,0.837731205392629,128.409998970653,0,1,0
83,0.119378546252847,152.947295079555,0,0,0
94,0.793569586938247,395.043355802399,0,3,0
31,0.533780910074711,556.383027851137,1,3,0
49,0.350107927806675,61.8142641708255,0,1,0
55,0.356874893885106,62.4121123529416,0,0,0
85,0.944078265223652,271.726035684125,1,0,0
90,0.637516034767032,13.2223563082516,0,2,0
34,0.87212863471359,2.52961311806718,0,0,1
41,0.405134352855384,43.589998036623,1,2,0
54,0.129847052739933,52.4537119455636,0,1,0
55,0.605400568107143,81.0004110820591,0,0,1
25,0.435148182790726,36.0635102167726,0,3,1
75,0.963848813669756,103.198696761723,0,3,0
88,0.497690571006387,149.174761618103,0,2,0
91,0.449056270997971,337.740992883545,0,1,0
93,0.577882293146104,213.488051881245,0,2,0
91,0.115372611908242,46.7968834005296,0,0,0
66,0.80488247377798,271.90183392973,1,1,0
23,0.181375738466159,181.353063573292,0,3,0
88,0.630474438425153,19.3848689800032,1,0,0
38,0.807317756349221,77.1419589221478,3,1,1
53,0.777718600584194,104.706014352466,1,1,1
83,0.39831871073693,214.080096100619,0,1,0
69,0.583868882618845,64.6850022487342,0,2,1
48,0.0383496745489538,191.96867174392,0,1,0
26,0.192230076063424,26.4451794326305,0,2,0
56,0.90362964454107,27.3905222676694,1,1,1
75,0.588105994509533,252.922286450641,0,0,0
83,0.494256110396236,20.0995034452256,0,2,1
64,0.938212083186954,75.8244184590876,0,4,0
71,0.329434969462454,270.005870545528,0,4,1
22,0.0420963331125677,60.7942836731672,0,0,0
21,0.223483310081065,0.258040780793013,1,2,1
32,0.123357090866193,793.167512743999,0,2,0
37,0.947472413536161,327.482896357553,1,0,0
53,0.993322961498052,231.609145169309,1,0,1
85,0.845945384120569,42.4618548899889,0,3,0
27,0.480473582167178,273.270512497808,0,2,0
63,0.684006738942116,3.8486572355032,0,6,1
45,0.232159554725513,28.8456171378493,0,1,1
85,0.869084706064314,138.976275170769,1,2,0
50,0.237070954404771,3.21582846343517,0,2,1
34,0.453515619970858,73.5084736347198,0,0,0
86,0.657608311157674,148.813711809541,0,1,0
50,0.0639271070249379,222.918087233952,0,0,1
23,0.481037332676351,58.3591990917921,0,1,0
69,0.973922909935936,46.2063759076409,0,4,1
34,0.551493623526767,19.5457412861288,0,4,1
38,0.174520597560331,58.1514658409682,1,0,0
26,0.0102158307563514,7.90883246809244,0,0,1
69,0.606391323031858,173.944780145934,0,3,0
55,0.104605822591111,107.909717022725,1,2,1
43,0.427135185338557,115.454777772154,0,4,1
27,0.173052578466013,56.3793049938977,0,4,1
37,0.659458928275853,0.18984139581479,0,0,1
39,0.452154502738267,11.6478831321001,0,0,0
71,0.741870290366933,76.4651462808251,0,0,1
29,0.241357216611505,18.246176764369,0,2,1
20,0.0517701834905893,191.933482831623,0,0,0
85,0.864637663587928,63.6388185247779,1,0,0
74,0.462263172958046,75.1750732026994,2,1,0
21,0.298758739605546,93.0942372182265,0,0,1
60,0.263598916819319,224.618828361085,1,0,1
86,0.181345605757087,57.845535390079,0,0,0
22,0.936343808891252,7.45995864272118,0,0,1
88,0.325980770867318,241.708983768871,1,1,0
74,0.481022997759283,23.3312604390085,0,4,0
45,0.0101850244682282,14.2037170194089,0,2,0
32,0.101680893916637,90.8381563047594,0,0,1
28,0.744823511689901,65.4273013025522,0,1,1
46,0.569100289605558,526.749551227682,2,1,0
91,0.436816170113161,0.271516129378135,0,0,0
73,0.757419649977237,70.9623660519719,0,0,0
59,0.625062230275944,397.41575057366,0,1,0
40,0.285466438857839,22.1042392775416,1,3,0
27,0.370377712184563,137.660827333654,0,3,0
31,0.0715137561783195,242.900390167883,0,1,0
93,0.714052143041044,53.0161171406507,0,2,0
93,0.946549174841493,449.441167753982,0,1,0
34,0.136332992697135,45.2228896133602,1,6,1
20,0.641302172094584,2.22644163295627,3,0,1
90,0.849190556909889,97.2974906438842,0,3,1
85,0.540179459610954,9.2861440366243,2,1,0
76,0.669731223024428,172.474815182695,0,0,0
54,0.309552435064688,2.60205773636699,0,3,1
58,0.449408096494153,67.8015777468681,0,2,0
27,0.52140996675007,3.48726214214616,0,2,0
30,0.69640327617526,621.159001181005,0,0,0
78,0.0856759024318308,15.4129424504936,0,0,0
65,0.217460049549118,255.818220476904,0,1,0
80,0.723525900626555,134.486463286399,0,1,1
51,0.263406770303845,273.603685259597,0,0,0
48,0.652087564347312,36.0637945309281,1,1,1
71,0.0135504540521652,385.279373162262,1,2,0
41,0.47784585156478,33.8810499943793,0,1,0
25,0.296760211000219,163.565560984041,0,5,1
55,0.112701996229589,79.5200963504612,1,2,0
70,0.820700577227399,278.972780167834,0,0,0
24,0.867765930714086,72.9019740410149,0,3,1
33,0.0518795421812683,297.832424402015,1,0,0
77,0.353518767282367,9.25483516475472,2,1,1
45,0.0886465478688478,96.4712663942432,0,0,0
76,0.203750364249572,64.2029789640177,0,1,0
84,0.682282924186438,17.4583652177852,0,0,0
81,0.0496868670452386,44.230720102787,0,3,0
46,0.189473415957764,86.9855693304792,0,1,0
61,0.925077182007954,105.101625206496,0,0,1
24,0.735744877019897,16.7899059387595,0,1,1
25,0.189405290177092,44.6039962023497,1,0,0
58,0.034909596433863,14.3278291807326,0,1,0
85,0.642369452863932,151.58120702448,0,3,1
95,0.991341657703742,53.0008662678301,0,2,0
21,0.48852943466045,185.217391614965,0,0,1
54,0.173478577053174,30.1578705199063,0,1,0
48,0.131672959076241,6.10047589569213,0,2,1
73,0.302848228486255,395.081066767078,1,3,1
69,0.771115869749337,34.6487593089638,0,2,0
64,0.565361134242266,117.211997727479,2,0,1
25,0.232774352654815,243.787913237861,0,1,0
86,0.446257150964811,153.474371390964,0,2,0
36,0.302003308897838,122.17232889923,0,2,0
77,0.725408318219706,58.1996344216168,0,1,0
75,0.606058854842559,131.714532221283,0,2,0
78,0.482736292295158,132.963535363362,1,2,0
21,0.577742695808411,140.543798687483,0,1,1
46,0.995943229878321,40.6637074425817,0,1,1
76,0.669899267610162,697.649286349022,0,3,0
93,0.508926245616749,147.581768556691,0,2,0
21,0.665908161783591,9.92102542897722,0,2,1
33,0.888359958305955,97.6667070968047,0,0,1
26,0.738631692482159,63.9282472617924,0,2,1
28,0.755394193110988,96.47207096753,0,2,1
33,0.0576126684900373,73.4745445847511,1,0,0
71,0.652620024047792,791.505029528667,0,0,0
62,0.0841249721124768,393.331731835705,1,2,0
31,0.834741643862799,362.550176861723,1,2,0
27,0.550052244681865,411.320791820389,0,3,0
73,0.98439394775778,332.72892592321,0,0,0
79,0.502167537808418,335.169613639217,0,1,0
69,0.744956870330498,6.01209536478003,0,0,0
51,0.324990870896727,92.3345840877927,0,1,0
86,0.872484833700582,75.4031157307327,0,2,1
35,0.493626124225557,118.699671434785,1,1,1
22,0.36310646450147,334.269402603012,0,1,0
94,0.911154126981273,95.22255308422,1,3,0
39,0.114074793644249,8.16698284819722,0,2,0
51,0.957998919533566,538.642961799654,0,0,0
71,0.902610375545919,98.6989486728926,0,1,0
55,0.533265083795413,40.1354984566569,0,1,0
34,0.136258054757491,27.2647361643612,0,0,0
92,0.289887834107503,89.7445036027837,0,1,0
84,0.440133308526129,85.1178749972835,1,2,0
43,0.76460869750008,61.8059231154621,0,0,1
90,0.891585056204349,344.460733810764,0,1,0
68,0.890971502056345,29.0148862078786,1,1,0
53,0.304936047177762,66.2969565577805,0,2,0
85,0.458183499751613,435.86956828637,0,2,0
58,0.905367020284757,95.0506843948617,0,2,0
38,0.822936452459544,5.04317980259657,0,1,1
29,0.972797347232699,12.7658608742058,0,2,1
51,0.165094269206747,58.9796527661383,0,1,0
88,0.911702179117128,163.128670597996,0,3,1
90,0.316880262922496,60.6298385001719,0,1,0
56,0.157350871479139,43.4553643813785,0,1,1
94,0.35696454718709,80.9743690118194,0,0,0
72,0.743300214409828,272.814178377168,1,3,0
61,0.20484724920243,33.0093264207244,0,1,0
56,0.0510922574903816,20.7408213615417,0,0,0
39,0.496149288024753,217.543362145474,0,2,0
48,0.5776943389792,81.9260884076357,0,1,1
38,0.181020726682618,4.06546181067824,0,0,1
62,0.215458862483501,157.335779624607,0,2,0
78,0.796599676599726,3.95560126751661,0,3,0
