"tenure","monthly_charges","total_charges","contract","internet_service","payment_method","y"
9,122.829765778189,1177.68433318895,"Month-to-month","DSL","Credit card",0
14,90.6531175274486,1340.57186159153,"One year","DSL","Electronic check",0
27,68.2620791222263,1817.03573012826,"Month-to-month","DSL","Mailed check",0
2,63.7666106549534,96.1455747220611,"Month-to-month","No","Credit card",0
8,30.3376607968294,252.630631990181,"Two year","No","Mailed check",0
34,55.0811964469752,1911.16317776027,"Month-to-month","DSL","Mailed check",0
5,112.940875100941,562.219449959571,"Month-to-month","DSL","Credit card",0
38,95.7170843018128,3598.15864925687,"Month-to-month","DSL","Credit card",0
18,66.5582436188804,1287.17646529423,"Month-to-month","No","Credit card",0
32,71.4067908736996,2227.59684916018,"Month-to-month","Fiber optic","Electronic check",0
20,88.5983181692952,1649.30947757234,"One year","DSL","Mailed check",0
46,48.7825661591226,2244.70060338479,"Month-to-month","Fiber optic","Mailed check",0
18,86.0939976919911,1530.37658987258,"Month-to-month","No","Bank transfer",0
24,56.2855102875799,1327.07827870182,"Month-to-month","Fiber optic","Bank transfer",0
20,87.4895823694161,1595.20238293012,"One year","No","Bank transfer",0
33,94.3070309769787,3104.17758978211,"Month-to-month","Fiber optic","Electronic check",0
2,87.2071428240453,78.6698253014996,"Two year","Fiber optic","Credit card",0
19,109.519250669074,2090.51324260343,"Month-to-month","No","Credit card",0
30,29.5508324820266,874.484659849086,"Month-to-month","No","Bank transfer",0
24,46.7138376983146,1181.6273335548,"Month-to-month","DSL","Bank transfer",0
54,77.4217665738081,4183.10448448196,"Two year","DSL","Bank transfer",0
22,54.1187929556866,1173.68099684229,"Month-to-month","Fiber optic","Credit card",0
28,71.5044192436819,2061.86898240709,"One year","No","Electronic check",0
44,44.033635509304,2037.53190705266,"Month-to-month","Fiber optic","Mailed check",0
20,26.6560738314329,541.62202237762,"Month-to-month","Fiber optic","Electronic check",0
86,85.7865397781499,7415.68854690962,"Two year","Fiber optic","Electronic check",0
60,89.1280307098726,5330.50460815681,"Month-to-month","Fiber optic","Mailed check",0
44,109.506128512543,4779.10644524161,"Month-to-month","DSL","Mailed check",0
29,66.8135789832012,2024.18100088973,"One year","No","Electronic check",0
52,70.7579038428571,3735.38544384154,"Month-to-month","Fiber optic","Electronic check",0
19,55.5424988998968,1093.12432349804,"Two year","Fiber optic","Bank transfer",0
47,107.119854462657,4979.84763158479,"Two year","DSL","Bank transfer",0
27,107.941145749213,2988.56810982155,"Two year","Fiber optic","Bank transfer",0
24,75.1301666962613,1704.12345532492,"Month-to-month","DSL","Credit card",0
12,41.9867948362631,521.332018227302,"Two year","DSL","Credit card",0
26,69.149909892164,1682.14017411147,"One year","Fiber optic","Electronic check",0
25,40.0610007665362,1046.23807960222,"One year","DSL","Electronic check",0
67,74.6698715841784,4976.20232350955,"Month-to-month","DSL","Electronic check",0
26,93.117251225682,2429.82575014867,"One year","Fiber optic","Bank transfer",0
16,77.0651884829683,1252.20398624221,"One year","DSL","Bank transfer",0
50,63.3688596843555,3216.6238276687,"One year","Fiber optic","Bank transfer",0
33,92.7272757491933,3122.79125699118,"Month-to-month","Fiber optic","Electronic check",0
6,70.063516288662,464.288022341457,"Month-to-month","No","Mailed check",0
32,64.9426955272944,2040.57933592716,"One year","DSL","Credit card",0
74,52.3525948864003,3857.62815549433,"Month-to-month","Fiber optic","Bank transfer",1
33,43.4313043281024,1474.52765055561,"One year","DSL","Bank transfer",0
50,43.7489125654194,2213.65922825365,"Two year","DSL","Credit card",0
18,87.3615698346227,1580.63971052929,"One year","Fiber optic","Bank transfer",1
10,55.9440606312982,562.179577772399,"Month-to-month","Fiber optic","Credit card",0
3,50.0719200628226,219.921458504445,"Month-to-month","Fiber optic","Electronic check",0
16,95.7703927500057,1488.80034135134,"Month-to-month","DSL","Mailed check",0
27,22.8609955584715,547.630313379322,"Two year","Fiber optic","Electronic check",0
43,35.1210714727707,1487.60677642403,"Two year","Fiber optic","Mailed check",0
15,94.8163760612443,1434.23774870686,"Month-to-month","DSL","Mailed check",0
14,97.5685502715948,1404.7384305223,"One year","DSL","Mailed check",0
84,61.9593060536494,5177.7213561437,"Month-to-month","DSL","Credit card",0
20,91.2842957483189,1837.40240301335,"Month-to-month","No","Electronic check",0
35,72.7283572845857,2443.49070711731,"Month-to-month","DSL","Credit card",0
28,113.537284525486,3116.24735742274,"One year","DSL","Bank transfer",0
30,43.4636121897172,1202.71561297858,"Month-to-month","Fiber optic","Electronic check",1
21,20.7295064445176,387.557995510487,"Two year","Fiber optic","Bank transfer",1
40,46.7679555387254,1917.57684612842,"Month-to-month","Fiber optic","Credit card",0
7,55.7360331817919,322.690050915539,"Month-to-month","DSL","Electronic check",0
60,127.129457235117,7700.21335948745,"Month-to-month","Fiber optic","Electronic check",0
22,60.8560134587345,1271.05411781973,"One year","Fiber optic","Credit card",0
6,78.336006455146,433.039900370135,"Month-to-month","Fiber optic","Electronic check",0
28,48.3244987711862,1414.46010411805,"One year","DSL","Mailed check",0
18,66.0315991315812,1301.61895105055,"Two year","No","Bank transfer",0
43,101.19998514184,4364.59828381597,"Month-to-month","DSL","Credit card",0
3,69.9730978824787,247.255991479137,"Month-to-month","Fiber optic","Electronic check",0
5,18,100.358495275259,"Month-to-month","Fiber optic","Credit card",0
13,32.1230884293976,412.612148171067,"One year","DSL","Bank transfer",0
81,116.387785074685,9437.09085791152,"Two year","Fiber optic","Electronic check",0
19,77.0046305342513,1458.25404349723,"One year","Fiber optic","Credit card",0
34,95.9162478286048,3253.65701287586,"Month-to-month","No","Credit card",0
16,65.3052752985995,965.76149552508,"Two year","No","Credit card",0
17,58.9783773150168,959.392725945722,"Two year","DSL","Electronic check",0
32,76.3796208221102,2447.54751254746,"Two year","Fiber optic","Credit card",0
71,78.1934936952418,5538.90979373473,"Month-to-month","Fiber optic","Electronic check",1
23,74.3383752942769,1661.16186490559,"One year","No","Electronic check",0
40,62.5450638688833,2513.5242825802,"Month-to-month","DSL","Credit card",0
23,66.6384972054463,1485.10002290826,"Month-to-month","DSL","Credit card",0
26,64.8084838266698,1843.63885112822,"Month-to-month","Fiber optic","Mailed check",0
16,94.6135691399437,1525.15742626481,"Two year","No","Electronic check",0
86,88.7559535493632,7679.07011048517,"Month-to-month","Fiber optic","Credit card",0
29,84.5872702432803,2518.79618036136,"Month-to-month","Fiber optic","Electronic check",0
27,91.046109715787,2513.83231150606,"Month-to-month","Fiber optic","Bank transfer",0
60,82.2553626109775,4877.9272952456,"Month-to-month","DSL","Mailed check",0
36,84.3379941652283,2992.41966734985,"One year","Fiber optic","Credit card",0
20,110.846289716717,2370.66768277529,"Month-to-month","No","Mailed check",0
19,82.5342673535852,1624.06566566584,"Month-to-month","Fiber optic","Electronic check",0
36,18,610.95228905309,"Month-to-month","DSL","Bank transfer",0
26,116.470872980078,2984.27054384055,"Two year","No","Electronic check",0
64,80.3093207151525,5170.34735529637,"Month-to-month","Fiber optic","Credit card",0
8,50.2756600410322,369.836770840853,"One year","DSL","Credit card",0
32,83.2857087356039,2634.98565783705,"Month-to-month","Fiber optic","Electronic check",0
9,120.908970931023,1050.10953774664,"One year","DSL","Credit card",0
33,110.052778718781,3647.93751484372,"One year","Fiber optic","Credit card",0
13,45.343766463355,633.121581487785,"Month-to-month","Fiber optic","Electronic check",0
16,50.118173217095,881.755020206465,"Month-to-month","Fiber optic","Bank transfer",1
50,53.5699225216973,2663.24491237042,"Month-to-month","Fiber optic","Bank transfer",0
15,72.8397497535707,1035.96441235515,"Month-to-month","DSL","Mailed check",0
18,54.1107601976046,948.396595836171,"One year","Fiber optic","Credit card",1
8,93.2565021277849,815.965828518514,"Month-to-month","DSL","Mailed check",0
18,56.9170326938044,1033.17454585202,"One year","Fiber optic","Bank transfer",0
29,120.123372177917,3493.70407547698,"Two year","Fiber optic","Bank transfer",0
62,51.808893886416,3233.31570882812,"Two year","Fiber optic","Mailed check",0
35,85.3528616172504,3032.99546272831,"Month-to-month","No","Bank transfer",0
45,63.6668002510839,2975.81982043798,"One year","Fiber optic","Electronic check",0
64,43.2584305551656,2725.07215805346,"Month-to-month","DSL","Mailed check",0
59,57.5520938795081,3315.28185221004,"Month-to-month","No","Bank transfer",0
47,66.8478904438249,3102.29834094846,"Month-to-month","Fiber optic","Bank transfer",0
24,57.0251589467248,1381.51111268865,"One year","DSL","Bank transfer",0
23,74.4193987244086,1600.58487079449,"One year","No","Bank transfer",0
7,61.4118038144682,376.725183230865,"One year","No","Mailed check",0
6,85.8508667923422,514.821886854773,"One year","DSL","Electronic check",0
9,70.1123445275519,573.264315734086,"Two year","DSL","Bank transfer",1
8,60.346432310009,493.272715412948,"Month-to-month","Fiber optic","Electronic check",0
31,95.7986682808928,3031.1723193874,"Month-to-month","DSL","Electronic check",0
23,96.089191486799,2276.34156333942,"Month-to-month","No","Credit card",0
45,70.7367150544717,3176.74991633972,"Two year","DSL","Bank transfer",0
26,18,560.035217315613,"Month-to-month","Fiber optic","Bank transfer",0
35,84.9347255285161,2994.94626480114,"Month-to-month","Fiber optic","Credit card",0
19,74.6383634717536,1449.56293363687,"Month-to-month","Fiber optic","Credit card",0
